cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.3122671945329111,0.0004503543534255,0.01
10,Li7,"(n,Xt)",0.0944816880413508,0.0001485772151225,0.01
6,Li6,"(n,Xt)",0.0008307028855169,1.9745533592934944e-06,0.01
6,Li7,"(n,Xt)",0.020785582001889,1.7924724619376404e-05,0.01
20,Li6,"(n,Xt)",0.9935633992414552,0.0005527305155215,7.5
20,Li7,"(n,Xt)",0.0869260220876509,0.0001370940907306,7.5
17,Li6,"(n,Xt)",0.0771346720927184,0.000143298787426,7.5
17,Li7,"(n,Xt)",0.0192383533998024,1.8663462547608933e-05,7.5
30,Li6,"(n,Xt)",1.0106441572520315,0.0012290222474506,15.0
30,Li7,"(n,Xt)",0.0794625938931315,0.0001218270897141,15.0
27,Li6,"(n,Xt)",0.101936777589486,0.0002020677286274,15.0
27,Li7,"(n,Xt)",0.0176859988515319,1.7974411666203995e-05,15.0
37,Li7,"(n,Xt)",0.0156184899579538,1.4038336614608232e-05,25.0
37,Li6,"(n,Xt)",0.1242311512272858,0.0002813163560221,25.0
40,Li7,"(n,Xt)",0.0696316714310665,0.000110454934272,25.0
40,Li6,"(n,Xt)",1.0140942434602875,0.0012359953327726,25.0
50,Li6,"(n,Xt)",1.005001366607426,0.0012860767346865,50.0
50,Li7,"(n,Xt)",0.0455983918789645,7.286939163319824e-05,50.0
47,Li6,"(n,Xt)",0.1598409157900332,0.0002389134288855,50.0
47,Li7,"(n,Xt)",0.0104341387380033,9.69823709898188e-06,50.0
60,Li6,"(n,Xt)",0.9933194548148132,0.0010897458751887,75.0
60,Li7,"(n,Xt)",0.0224091613711266,4.232449215335342e-05,75.0
57,Li6,"(n,Xt)",0.1851769304344194,0.0003116818626821,75.0
57,Li7,"(n,Xt)",0.0052288205932413,4.300268661970264e-06,75.0
70,Li6,"(n,Xt)",0.9855309457237156,0.0009294286691379,99.99
70,Li7,"(n,Xt)",8.81959257513027e-06,1.5384377181845108e-08,99.99
67,Li6,"(n,Xt)",0.2035795239602643,0.0004590023078389,99.99
67,Li7,"(n,Xt)",2.0948317785190933e-06,1.8036130362744518e-09,99.99
