cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.2590608827654247,0.0007822098810016,0.01
10,Li7,"(n,Xt)",0.0644125387161549,8.507727251836665e-05,0.01
6,Li6,"(n,Xt)",0.0039621785920824,1.0939881857640984e-05,0.01
6,Li7,"(n,Xt)",0.0653585096698419,5.88104972238216e-05,0.01
20,Li6,"(n,Xt)",0.7755730543793938,0.0009814476696635,7.5
20,Li7,"(n,Xt)",0.0591548323323184,6.704551621831098e-05,7.5
17,Li6,"(n,Xt)",0.2710818541048294,0.0005711638915849,7.5
17,Li7,"(n,Xt)",0.0604334565997667,5.2541084293156206e-05,7.5
30,Li6,"(n,Xt)",0.7604905207196223,0.0009006044954911,15.0
30,Li7,"(n,Xt)",0.0539955214585366,6.497303413917559e-05,15.0
27,Li6,"(n,Xt)",0.3306152466932673,0.0005315489845636,15.0
27,Li7,"(n,Xt)",0.0555049181312748,5.137076640425265e-05,15.0
37,Li7,"(n,Xt)",0.048921094256608,4.237310012479138e-05,25.0
37,Li6,"(n,Xt)",0.3767862935184821,0.0005873370002972,25.0
40,Li7,"(n,Xt)",0.047197408343549,6.494939070509374e-05,25.0
40,Li6,"(n,Xt)",0.7420022280478775,0.0012550147851899,25.0
50,Li6,"(n,Xt)",0.7098427499602054,0.0010750212764773,50.0
50,Li7,"(n,Xt)",0.0307456530135249,3.863405464184863e-05,50.0
47,Li6,"(n,Xt)",0.4392939297666473,0.0004979434496,50.0
47,Li7,"(n,Xt)",0.0325421689740497,2.7668081966293653e-05,50.0
60,Li6,"(n,Xt)",0.688643885125654,0.0006565013613583,75.0
60,Li7,"(n,Xt)",0.015006268589838,2.1836739797555304e-05,75.0
57,Li6,"(n,Xt)",0.4747584150027205,0.0009219592264344,75.0
57,Li7,"(n,Xt)",0.0162323898920679,1.3496274820817136e-05,75.0
70,Li6,"(n,Xt)",0.6702593963214978,0.0007697047451414,99.99
70,Li7,"(n,Xt)",5.8658196415800365e-06,7.317168009519336e-09,99.99
67,Li6,"(n,Xt)",0.4998164896450746,0.0012650250321292,99.99
67,Li7,"(n,Xt)",6.480891830694855e-06,4.3689106673198226e-09,99.99
