cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.3042755651252283,0.0002092363979215,0.01
10,Li7,"(n,Xt)",0.0883161174080642,0.0001908232769172,0.01
6,Li6,"(n,Xt)",0.0009836574804004,3.435065631026579e-06,0.01
6,Li7,"(n,Xt)",0.0212813384803796,2.942760281183069e-05,0.01
20,Li6,"(n,Xt)",0.9886525347286544,0.0009336273212393,7.5
20,Li7,"(n,Xt)",0.0812027870594827,0.0001812487916602,7.5
17,Li6,"(n,Xt)",0.1040184126734054,0.0003600390193582,7.5
17,Li7,"(n,Xt)",0.0196868682417873,2.746071448152243e-05,7.5
30,Li6,"(n,Xt)",1.0047728132835858,0.0010008183715288,15.0
30,Li7,"(n,Xt)",0.0742483213678636,0.0001606646615491,15.0
27,Li6,"(n,Xt)",0.1377991471347419,0.0002843738984724,15.0
27,Li7,"(n,Xt)",0.0181110990128499,2.444719469023378e-05,15.0
37,Li7,"(n,Xt)",0.0159887934348289,2.0888672784696705e-05,25.0
37,Li6,"(n,Xt)",0.1660469265831022,0.0002789087784354,25.0
40,Li7,"(n,Xt)",0.0650582283015775,0.0001301451588295,25.0
40,Li6,"(n,Xt)",1.0073534435566205,0.0012597228655925,25.0
50,Li6,"(n,Xt)",0.9964139759202542,0.0012651832762178,50.0
50,Li7,"(n,Xt)",0.0426272439504238,7.334826125225818e-05,50.0
47,Li6,"(n,Xt)",0.2106589846841323,0.0004467290607515,50.0
47,Li7,"(n,Xt)",0.010681730345915,1.3375820605863615e-05,50.0
60,Li6,"(n,Xt)",0.9859241748637632,0.001428384753831,75.0
60,Li7,"(n,Xt)",0.0209448264780132,3.43653847188667e-05,75.0
57,Li6,"(n,Xt)",0.2390769505239762,0.0004430303987809,75.0
57,Li7,"(n,Xt)",0.0053522811383251,6.854695928436463e-06,75.0
70,Li6,"(n,Xt)",0.972838411787232,0.001331006327907,99.99
70,Li7,"(n,Xt)",8.232441363457594e-06,1.4539553393138765e-08,99.99
67,Li6,"(n,Xt)",0.2609736644106745,0.0002536835785403,99.99
67,Li7,"(n,Xt)",2.143498425825888e-06,2.947636025874565e-09,99.99
