cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.3030923730590554,0.0003283999761125,0.01
10,Li7,"(n,Xt)",0.0866854184857517,0.0001818217609398,0.01
6,Li6,"(n,Xt)",0.0010286092209343,2.7429049645876395e-06,0.01
6,Li7,"(n,Xt)",0.0213580977427228,2.599339039979872e-05,0.01
20,Li6,"(n,Xt)",0.9883728842280152,0.000925544067787,7.5
20,Li7,"(n,Xt)",0.0797651454730984,0.0001894880062223,7.5
17,Li6,"(n,Xt)",0.1107667132922173,0.0002483352792165,7.5
17,Li7,"(n,Xt)",0.0197662926681108,2.4313834076900448e-05,7.5
30,Li6,"(n,Xt)",1.003126069662345,0.0013549133351529,15.0
30,Li7,"(n,Xt)",0.0729219702358709,0.0001554661527354,15.0
27,Li6,"(n,Xt)",0.1465787281843494,0.0003965807412214,15.0
27,Li7,"(n,Xt)",0.0181842499471928,2.2810496041758403e-05,15.0
37,Li7,"(n,Xt)",0.0160494409613264,1.7861164540386928e-05,25.0
37,Li6,"(n,Xt)",0.1764998366905366,0.0004327868851054,25.0
40,Li7,"(n,Xt)",0.0638816174374618,0.000131066173398,25.0
40,Li6,"(n,Xt)",1.0059698757770144,0.0009082631188797,25.0
50,Li6,"(n,Xt)",0.9959813650104384,0.0008452379127192,50.0
50,Li7,"(n,Xt)",0.0418457986443343,8.005440691911379e-05,50.0
47,Li6,"(n,Xt)",0.2231523861852581,0.0004709538188237,50.0
47,Li7,"(n,Xt)",0.010724060538514,1.2911016547400905e-05,50.0
60,Li6,"(n,Xt)",0.9843025373292204,0.0012343771667082,75.0
60,Li7,"(n,Xt)",0.0205603295645963,4.0705682866660296e-05,75.0
57,Li6,"(n,Xt)",0.2526479029018761,0.0005605374204963,75.0
57,Li7,"(n,Xt)",0.0053722782853616,6.737273560331973e-06,75.0
70,Li6,"(n,Xt)",0.9722479411548358,0.0010009812728551,99.99
70,Li7,"(n,Xt)",8.087208202356604e-06,1.4830539247877048e-08,99.99
67,Li6,"(n,Xt)",0.2750606768651036,0.0004074302505928,99.99
67,Li7,"(n,Xt)",2.153022644669189e-06,2.7317053663115013e-09,99.99
