cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.3109012717701113,0.0005545494703768,0.01
10,Li7,"(n,Xt)",0.0930148087090095,0.0002101365161176,0.01
6,Li6,"(n,Xt)",0.0008681265177035,2.1804046631214124e-06,0.01
6,Li7,"(n,Xt)",0.0209295012934001,3.2225041216849734e-05,0.01
20,Li6,"(n,Xt)",0.9916465159068796,0.0012372795981102,7.5
20,Li7,"(n,Xt)",0.0855839287810453,0.0002069497309752,7.5
17,Li6,"(n,Xt)",0.0833992300571551,0.0001767056072441,7.5
17,Li7,"(n,Xt)",0.0193793491538737,2.8511609173706987e-05,7.5
30,Li6,"(n,Xt)",1.0074772964983718,0.0010649631039893,15.0
30,Li7,"(n,Xt)",0.0782454733015433,0.0001833309450836,15.0
27,Li6,"(n,Xt)",0.1108462077773326,0.0001870851516245,15.0
27,Li7,"(n,Xt)",0.0178145886007005,2.6279727984785284e-05,15.0
37,Li7,"(n,Xt)",0.0157309384268157,2.084330779118221e-05,25.0
37,Li6,"(n,Xt)",0.1348821053932545,0.0001957012885194,25.0
40,Li7,"(n,Xt)",0.0685582966691814,0.0001662956017398,25.0
40,Li6,"(n,Xt)",1.0115648272298592,0.0013709540850828,25.0
50,Li6,"(n,Xt)",1.002340811263438,0.0012563869324039,50.0
50,Li7,"(n,Xt)",0.0449110843525272,0.0001000465555307,50.0
47,Li6,"(n,Xt)",0.1729148774560647,0.0002919162714674,50.0
47,Li7,"(n,Xt)",0.0105117215183429,1.4070553539445437e-05,50.0
60,Li6,"(n,Xt)",0.991242496852859,0.0011513853989042,75.0
60,Li7,"(n,Xt)",0.0220835426413381,4.840174641591322e-05,75.0
57,Li6,"(n,Xt)",0.1989744457169713,0.0002627054197045,75.0
57,Li7,"(n,Xt)",0.0052679438758761,7.23254066387287e-06,75.0
70,Li6,"(n,Xt)",0.979706460880938,0.0014891270459859,99.99
70,Li7,"(n,Xt)",8.678426187423157e-06,1.9285527785382974e-08,99.99
67,Li6,"(n,Xt)",0.2182091173780397,0.0003792073788143,99.99
67,Li7,"(n,Xt)",2.110469027655885e-06,3.198612825928194e-09,99.99
