cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.3093871380487484,0.0004423796265597,0.01
10,Li7,"(n,Xt)",0.0913628023878116,0.0001998295976526,0.01
6,Li6,"(n,Xt)",0.000906825987256,2.250210117940982e-06,0.01
6,Li7,"(n,Xt)",0.0210516345025546,3.1466974004352575e-05,0.01
20,Li6,"(n,Xt)",0.9915729060992128,0.001284245057609,7.5
20,Li7,"(n,Xt)",0.0840712214126554,0.0002055883709857,7.5
17,Li6,"(n,Xt)",0.0899154998834844,0.0002051299284184,7.5
17,Li7,"(n,Xt)",0.0194914885942356,2.515392809728709e-05,7.5
30,Li6,"(n,Xt)",1.0084843145215785,0.0013887552290248,15.0
30,Li7,"(n,Xt)",0.0768448648605544,0.0001803777601052,15.0
27,Li6,"(n,Xt)",0.1199718063369542,0.0002960326200004,15.0
27,Li7,"(n,Xt)",0.0179216396062748,2.4221441388852904e-05,15.0
37,Li7,"(n,Xt)",0.0158254433164721,2.0066169713973043e-05,25.0
37,Li6,"(n,Xt)",0.1450458212555612,0.0003926523157357,25.0
40,Li7,"(n,Xt)",0.067339352274298,0.0001567759872267,25.0
40,Li6,"(n,Xt)",1.010766873865004,0.0009152657245374,25.0
50,Li6,"(n,Xt)",1.001230988969826,0.0010581427354184,50.0
50,Li7,"(n,Xt)",0.0441445216108065,9.675790512299024e-05,50.0
47,Li6,"(n,Xt)",0.1849689811253008,0.0002369918432023,50.0
47,Li7,"(n,Xt)",0.0105739645709457,1.2872986462837304e-05,50.0
60,Li6,"(n,Xt)",0.9897161098788844,0.0013033715041566,75.0
60,Li7,"(n,Xt)",0.0216884912560998,4.694570894732276e-05,75.0
57,Li6,"(n,Xt)",0.2125552067895792,0.0002902446810731,75.0
57,Li7,"(n,Xt)",0.0052996172584473,6.352311192299794e-06,75.0
70,Li6,"(n,Xt)",0.9775829305658053,0.0016933285861159,99.99
70,Li7,"(n,Xt)",8.524343314834513e-06,1.9334847630488013e-08,99.99
67,Li6,"(n,Xt)",0.2324981546748338,0.0003267269236608,99.99
67,Li7,"(n,Xt)",2.1236377119229576e-06,2.629204692479317e-09,99.99
