cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.3047052688573864,0.0002999832447176,0.01
10,Li7,"(n,Xt)",0.0866821887209842,0.0001830618738509,0.01
6,Li6,"(n,Xt)",0.001028544719089,2.882346966779992e-06,0.01
6,Li7,"(n,Xt)",0.0213577152209665,2.6345878204668213e-05,0.01
20,Li6,"(n,Xt)",0.9884086732488686,0.0009520115521042,7.5
20,Li7,"(n,Xt)",0.0797622783680344,0.0001889526005217,7.5
17,Li6,"(n,Xt)",0.1107704381382967,0.0002469557734897,7.5
17,Li7,"(n,Xt)",0.0197659289738479,2.4365025038839195e-05,7.5
30,Li6,"(n,Xt)",1.0031750711946548,0.0013908332410288,15.0
30,Li7,"(n,Xt)",0.0729207599882234,0.0001555325300384,15.0
27,Li6,"(n,Xt)",0.1465819204787782,0.0003945522907032,15.0
27,Li7,"(n,Xt)",0.0181840162283987,2.2772774887051705e-05,15.0
37,Li7,"(n,Xt)",0.0160492109511364,1.776901784682906e-05,25.0
37,Li6,"(n,Xt)",0.1764909812752353,0.0004289597917324,25.0
40,Li7,"(n,Xt)",0.0638815240172026,0.0001316318263242,25.0
40,Li6,"(n,Xt)",1.0059835651777873,0.0009077439600891,25.0
50,Li6,"(n,Xt)",0.9959709815718284,0.0008221331907217,50.0
50,Li7,"(n,Xt)",0.0418453832451474,8.002051712943172e-05,50.0
47,Li6,"(n,Xt)",0.2231487387144713,0.000472609036368,50.0
47,Li7,"(n,Xt)",0.0107241066206513,1.2939689468130332e-05,50.0
60,Li6,"(n,Xt)",0.9842781220748852,0.0012312648027113,75.0
60,Li7,"(n,Xt)",0.0205610840557989,4.066794331111987e-05,75.0
57,Li6,"(n,Xt)",0.252646436247653,0.0005622749450152,75.0
57,Li7,"(n,Xt)",0.0053722176621425,6.723646148792124e-06,75.0
70,Li6,"(n,Xt)",0.97228297697794,0.0010104555919448,99.99
70,Li7,"(n,Xt)",8.08749021652109e-06,1.4868988568876976e-08,99.99
67,Li6,"(n,Xt)",0.2750555102666073,0.000409955808666,99.99
67,Li7,"(n,Xt)",2.1530211795656272e-06,2.723439980392602e-09,99.99
