cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.3052426242502023,0.0002893989867471,0.01
10,Li7,"(n,Xt)",0.0866849651584356,0.0001847338301027,0.01
6,Li6,"(n,Xt)",0.001028753045492,2.7747231282615468e-06,0.01
6,Li7,"(n,Xt)",0.0213578388076653,2.618369572706305e-05,0.01
20,Li6,"(n,Xt)",0.9884541035892026,0.0009467291648952,7.5
20,Li7,"(n,Xt)",0.0797614411121282,0.0001886095209035,7.5
17,Li6,"(n,Xt)",0.1107695748850448,0.0002484073148571,7.5
17,Li7,"(n,Xt)",0.0197662589479927,2.4329128012149424e-05,7.5
30,Li6,"(n,Xt)",1.0032049761851558,0.0013814943261108,15.0
30,Li7,"(n,Xt)",0.0729214895665692,0.0001549060331761,15.0
27,Li6,"(n,Xt)",0.1465802624584724,0.0003941034126761,15.0
27,Li7,"(n,Xt)",0.018184025354069,2.281785396851231e-05,15.0
37,Li7,"(n,Xt)",0.016049207737892,1.7754467779556294e-05,25.0
37,Li6,"(n,Xt)",0.1764932485771298,0.0004292838184052,25.0
40,Li7,"(n,Xt)",0.0638827866934659,0.0001314698271044,25.0
40,Li6,"(n,Xt)",1.0060017024195829,0.0009248660021715,25.0
50,Li6,"(n,Xt)",0.9960091312265796,0.0008296329075409,50.0
50,Li7,"(n,Xt)",0.0418454352948684,8.035344492491156e-05,50.0
47,Li6,"(n,Xt)",0.2231510701053896,0.0004709435715517,50.0
47,Li7,"(n,Xt)",0.010724077165976,1.29515923841105e-05,50.0
60,Li6,"(n,Xt)",0.984311668478586,0.0012342837287048,75.0
60,Li7,"(n,Xt)",0.0205613455596823,4.076439090051694e-05,75.0
57,Li6,"(n,Xt)",0.2526440630574516,0.0005591920933937,75.0
57,Li7,"(n,Xt)",0.0053721988677678,6.745576827460421e-06,75.0
70,Li6,"(n,Xt)",0.97230750536403,0.0010091884601237,99.99
70,Li7,"(n,Xt)",8.087454871946528e-06,1.4905595261797613e-08,99.99
67,Li6,"(n,Xt)",0.2750527305359306,0.0004081124902285,99.99
67,Li7,"(n,Xt)",2.1530174302491805e-06,2.73233898985214e-09,99.99
