cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.3254559315787498,0.0003384230791114,0.01
10,Li7,"(n,Xt)",0.0792018041965344,0.0002081903042759,0.01
6,Li6,"(n,Xt)",0.0008564619780043,2.50918311414318e-06,0.01
6,Li7,"(n,Xt)",0.0205062594733789,2.8635596796471453e-05,0.01
20,Li6,"(n,Xt)",1.047164888772532,0.0011773632351192,7.5
20,Li7,"(n,Xt)",0.0729328984839474,0.000183021961881,7.5
17,Li6,"(n,Xt)",0.086908708093663,0.000247628480374,7.5
17,Li7,"(n,Xt)",0.0189900402273334,2.3991896127455296e-05,7.5
30,Li6,"(n,Xt)",1.059636969156704,0.0015113377803944,15.0
30,Li7,"(n,Xt)",0.0666552440404018,0.0001695167705751,15.0
27,Li6,"(n,Xt)",0.1175747611220457,0.000325833451522,15.0
27,Li7,"(n,Xt)",0.0174620204770904,2.412885813714704e-05,15.0
37,Li7,"(n,Xt)",0.0154232786950915,1.9848451739798618e-05,25.0
37,Li6,"(n,Xt)",0.1443454144614403,0.0002607916656601,25.0
40,Li7,"(n,Xt)",0.0583611805187227,0.0001409649632493,25.0
40,Li6,"(n,Xt)",1.0640450080381705,0.0011504239989626,25.0
50,Li6,"(n,Xt)",1.050413488907389,0.001194846481569,50.0
50,Li7,"(n,Xt)",0.0382466385974121,9.370642556502064e-05,50.0
47,Li6,"(n,Xt)",0.1885932304899478,0.0003394040754992,50.0
47,Li7,"(n,Xt)",0.0103073081427687,1.2982415885682238e-05,50.0
60,Li6,"(n,Xt)",1.03649692775471,0.001369853849167,75.0
60,Li7,"(n,Xt)",0.0187798455745402,4.802628422758531e-05,75.0
57,Li6,"(n,Xt)",0.2189497874450804,0.0003432432575817,75.0
57,Li7,"(n,Xt)",0.0051688160495556,6.855696827098772e-06,75.0
70,Li6,"(n,Xt)",1.0241396757961907,0.0008585227846356,99.99
70,Li7,"(n,Xt)",7.394164141648269e-06,1.93281983803716e-08,99.99
67,Li6,"(n,Xt)",0.2429347658728923,0.0002933839507164,99.99
67,Li7,"(n,Xt)",2.0717606998425645e-06,2.503923117521486e-09,99.99
