cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.3216757243207925,0.0004094921486409,0.01
10,Li7,"(n,Xt)",0.0838999784641092,0.0002208762418975,0.01
6,Li6,"(n,Xt)",0.0008505058206726,2.145310044957697e-06,0.01
6,Li7,"(n,Xt)",0.020595506745979,3.0089367563538165e-05,0.01
20,Li6,"(n,Xt)",1.0294402798112938,0.0014688455542545,7.5
20,Li7,"(n,Xt)",0.0772258375155407,0.0002159190950416,7.5
17,Li6,"(n,Xt)",0.0840654235533528,0.0002281683179476,7.5
17,Li7,"(n,Xt)",0.0190620288694525,2.5757388245669583e-05,7.5
30,Li6,"(n,Xt)",1.045510181551952,0.000659694578429,15.0
30,Li7,"(n,Xt)",0.0705690205863686,0.00018985797173,15.0
27,Li6,"(n,Xt)",0.112544201612538,0.0002545421127813,15.0
27,Li7,"(n,Xt)",0.0175293632205224,2.4991367176279105e-05,15.0
37,Li7,"(n,Xt)",0.0154818614663966,2.0499185597806405e-05,25.0
37,Li6,"(n,Xt)",0.1377134334063205,0.000346764129173,25.0
40,Li7,"(n,Xt)",0.061833811181935,0.0001553235181461,25.0
40,Li6,"(n,Xt)",1.0486346206121122,0.0010555462166295,25.0
50,Li6,"(n,Xt)",1.039139572504733,0.0013755374746624,50.0
50,Li7,"(n,Xt)",0.0404968373613823,0.0001019969075649,50.0
47,Li6,"(n,Xt)",0.1792603633231214,0.0005288925160521,50.0
47,Li7,"(n,Xt)",0.0103456370979068,1.334970872575308e-05,50.0
60,Li6,"(n,Xt)",1.0263121229716905,0.0007860192975467,75.0
60,Li7,"(n,Xt)",0.0198980500547313,4.797600798252332e-05,75.0
57,Li6,"(n,Xt)",0.2079541970662761,0.0002995899983003,75.0
57,Li7,"(n,Xt)",0.0051869031194597,7.3829101121383505e-06,75.0
70,Li6,"(n,Xt)",1.0125233111070215,0.0013518943064102,99.99
70,Li7,"(n,Xt)",7.8302678426631e-06,1.8378182706550372e-08,99.99
67,Li6,"(n,Xt)",0.2302172549508515,0.0003390131452842,99.99
67,Li7,"(n,Xt)",2.0786683874828057e-06,2.64932320095833e-09,99.99
