cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.31669045111321,0.0006574327051236,0.01
10,Li7,"(n,Xt)",0.0923991203101906,0.0002149336287435,0.01
6,Li6,"(n,Xt)",0.0008385784081064,2.479473425322875e-06,0.01
6,Li7,"(n,Xt)",0.0207445981487887,3.4242014056558924e-05,0.01
20,Li6,"(n,Xt)",1.001059591775228,0.0012420682268794,7.5
20,Li7,"(n,Xt)",0.085004370324096,0.000212008516833,7.5
17,Li6,"(n,Xt)",0.0782090160041738,0.0001967521498097,7.5
17,Li7,"(n,Xt)",0.0192033713841021,2.8397557260218736e-05,7.5
30,Li6,"(n,Xt)",1.018746153386056,0.0010046470103138,15.0
30,Li7,"(n,Xt)",0.0777131455960514,0.0002020559915694,15.0
27,Li6,"(n,Xt)",0.1039399243039283,0.0002284031545554,15.0
27,Li7,"(n,Xt)",0.0176571353041147,2.7013170760492603e-05,15.0
37,Li7,"(n,Xt)",0.0155947701307927,2.108059498036236e-05,25.0
37,Li6,"(n,Xt)",0.1267606095360566,0.0002559166297087,25.0
40,Li7,"(n,Xt)",0.068111748767469,0.0001713840935953,25.0
40,Li6,"(n,Xt)",1.021910063659627,0.001318456664525,25.0
50,Li6,"(n,Xt)",1.0127949850877114,0.0010854684940459,50.0
50,Li7,"(n,Xt)",0.04460259849898,0.0001076621947504,50.0
47,Li6,"(n,Xt)",0.1639588626012196,0.0001789154367341,50.0
47,Li7,"(n,Xt)",0.0104193896142142,1.4048919396678432e-05,50.0
60,Li6,"(n,Xt)",1.002314890255179,0.001257458107423,75.0
60,Li7,"(n,Xt)",0.0219299371282791,5.012489719757242e-05,75.0
57,Li6,"(n,Xt)",0.1899027291189849,0.0004055400457665,75.0
57,Li7,"(n,Xt)",0.0052217696388021,7.387186306245372e-06,75.0
70,Li6,"(n,Xt)",0.9894972654396847,0.001545875960932,99.99
70,Li7,"(n,Xt)",8.620394145638118e-06,1.975393010806489e-08,99.99
67,Li6,"(n,Xt)",0.2094269718890677,0.0003119982905853,99.99
67,Li7,"(n,Xt)",2.0931666480307827e-06,2.953875286713307e-09,99.99
