cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.3243304019854157,0.0004252119400362,0.01
10,Li7,"(n,Xt)",0.0838801267736457,0.0002180837460815,0.01
6,Li6,"(n,Xt)",0.0008511804534259,2.2743721545327822e-06,0.01
6,Li7,"(n,Xt)",0.020594386977951,3.041641924406617e-05,0.01
20,Li6,"(n,Xt)",1.0295633711906176,0.0014849339386622,7.5
20,Li7,"(n,Xt)",0.0772235957638781,0.0002147450165807,7.5
17,Li6,"(n,Xt)",0.0840681862738197,0.000228181035567,7.5
17,Li7,"(n,Xt)",0.0190620287250087,2.575694645602053e-05,7.5
30,Li6,"(n,Xt)",1.0456387574644554,0.0006512774811171,15.0
30,Li7,"(n,Xt)",0.0705677352231799,0.0001888751563081,15.0
27,Li6,"(n,Xt)",0.112541865226263,0.0002538193236929,15.0
27,Li7,"(n,Xt)",0.017529394019462,2.4986889560995677e-05,15.0
37,Li7,"(n,Xt)",0.0154818574261861,2.0538710020862616e-05,25.0
37,Li6,"(n,Xt)",0.137713698055988,0.0003464589493637,25.0
40,Li7,"(n,Xt)",0.0618327226445773,0.0001548353475041,25.0
40,Li6,"(n,Xt)",1.0486761910837104,0.0010559412323745,25.0
50,Li6,"(n,Xt)",1.0392130324490327,0.0013790217543141,50.0
50,Li7,"(n,Xt)",0.0404956954507264,0.00010198575146,50.0
47,Li6,"(n,Xt)",0.1792620053706123,0.0005277562491918,50.0
47,Li7,"(n,Xt)",0.0103456861982304,1.3345408767070358e-05,50.0
60,Li6,"(n,Xt)",1.0262653067690577,0.0007892898981176,75.0
60,Li7,"(n,Xt)",0.0198978595843201,4.8104846120402345e-05,75.0
57,Li6,"(n,Xt)",0.2079575890788826,0.0002999857195752,75.0
57,Li7,"(n,Xt)",0.0051869001014847,7.3762035071409724e-06,75.0
70,Li6,"(n,Xt)",1.012509293863229,0.0013719967246159,99.99
70,Li7,"(n,Xt)",7.830284343544368e-06,1.850058541071721e-08,99.99
67,Li6,"(n,Xt)",0.2302136175186569,0.0003380624766891,99.99
67,Li7,"(n,Xt)",2.078686369975493e-06,2.638891006105701e-09,99.99
