cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.309168584919697,0.00058662792648,0.01
10,Li7,"(n,Xt)",0.0819694982706757,0.0001837543973006,0.01
6,Li6,"(n,Xt)",0.0008171250099965,3.410950694596259e-06,0.01
6,Li7,"(n,Xt)",0.0204596706965085,2.545707272760364e-05,0.01
20,Li6,"(n,Xt)",0.997162206017448,0.0011409799368391,7.5
20,Li7,"(n,Xt)",0.0754592481620699,0.0001692122919296,7.5
17,Li6,"(n,Xt)",0.082593478451404,0.0001760561356053,7.5
17,Li7,"(n,Xt)",0.0189434047091591,2.389566017183164e-05,7.5
30,Li6,"(n,Xt)",1.011516601627284,0.0015430738553012,15.0
30,Li7,"(n,Xt)",0.0689680034363127,0.0001597798746502,15.0
27,Li6,"(n,Xt)",0.1124942648122297,0.0002361059502234,15.0
27,Li7,"(n,Xt)",0.0174224242957967,2.0191529956021223e-05,15.0
37,Li7,"(n,Xt)",0.0153862976712523,1.6105608219090177e-05,25.0
37,Li6,"(n,Xt)",0.1387694625322185,0.000246427366277,25.0
40,Li7,"(n,Xt)",0.0604185938958898,0.0001306538760045,25.0
40,Li6,"(n,Xt)",1.0142022259251686,0.0016176605391346,25.0
50,Li6,"(n,Xt)",1.0054327602934483,0.0013375791999916,50.0
50,Li7,"(n,Xt)",0.0395625849690997,8.938594303633024e-05,50.0
47,Li6,"(n,Xt)",0.1819280511318398,0.0004403725570624,50.0
47,Li7,"(n,Xt)",0.0102821174718404,1.116765178682898e-05,50.0
60,Li6,"(n,Xt)",0.9923915988887784,0.0010715962601746,75.0
60,Li7,"(n,Xt)",0.0194227401196273,4.463472822988474e-05,75.0
57,Li6,"(n,Xt)",0.2114670113158738,0.0004698045831818,75.0
57,Li7,"(n,Xt)",0.0051569836576671,5.907093451785391e-06,75.0
70,Li6,"(n,Xt)",0.979331039033003,0.00102243500959,99.99
70,Li7,"(n,Xt)",7.64364849113851e-06,1.8742948448335923e-08,99.99
67,Li6,"(n,Xt)",0.2335864503772476,0.0003195754193785,99.99
67,Li7,"(n,Xt)",2.066589369860409e-06,2.308141628971149e-09,99.99
