cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.3099869794081774,0.0004767847949257,0.01
10,Li7,"(n,Xt)",0.0858484664916073,0.0002030867355837,0.01
6,Li6,"(n,Xt)",0.0008154387895509,6.359033471122915e-07,0.01
6,Li7,"(n,Xt)",0.0205556066247713,2.5084953474449702e-05,0.01
20,Li6,"(n,Xt)",0.993268389984013,0.0005580524806861,7.5
20,Li7,"(n,Xt)",0.079034026296449,0.0002056038049243,7.5
17,Li6,"(n,Xt)",0.0807688808724169,0.0001341846239847,7.5
17,Li7,"(n,Xt)",0.0190335711413035,2.352800873006157e-05,7.5
30,Li6,"(n,Xt)",1.0094486394352258,0.0009732258312206,15.0
30,Li7,"(n,Xt)",0.0722037437507499,0.0001808249996061,15.0
27,Li6,"(n,Xt)",0.1086228573426408,0.0003116401425834,15.0
27,Li7,"(n,Xt)",0.0175040339684757,1.989091956287596e-05,15.0
37,Li7,"(n,Xt)",0.0154580385114891,1.595313338715614e-05,25.0
37,Li6,"(n,Xt)",0.1336962865163975,0.0002666004806273,25.0
40,Li7,"(n,Xt)",0.0632760607312453,0.0001510044049035,25.0
40,Li6,"(n,Xt)",1.0139803758326809,0.0012133539072812,25.0
50,Li6,"(n,Xt)",1.0056947676956915,0.0012615695381673,50.0
50,Li7,"(n,Xt)",0.0414392189958389,9.922433852914966e-05,50.0
47,Li6,"(n,Xt)",0.1747839336554337,0.0003354827339198,50.0
47,Li7,"(n,Xt)",0.0103293152268295,1.0973201936782649e-05,50.0
60,Li6,"(n,Xt)",0.9946316378131612,0.0008634616683717,75.0
60,Li7,"(n,Xt)",0.0203522427614966,4.492942846301231e-05,75.0
57,Li6,"(n,Xt)",0.2027151362542661,0.0004849977817336,75.0
57,Li7,"(n,Xt)",0.0051791930963904,6.1421871863974085e-06,75.0
70,Li6,"(n,Xt)",0.982181837969543,0.0011940478007276,99.99
70,Li7,"(n,Xt)",8.008100969831283e-06,1.6785982008408853e-08,99.99
67,Li6,"(n,Xt)",0.2243835927414078,0.0004336011525057,99.99
67,Li7,"(n,Xt)",2.0754728945874017e-06,2.4690801576529046e-09,99.99
