cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.3133877352560744,0.0004301580818488,0.01
10,Li7,"(n,Xt)",0.0944764113261139,0.0001455794676944,0.01
6,Li6,"(n,Xt)",0.0008311148161822,1.9339083719582986e-06,0.01
6,Li7,"(n,Xt)",0.0207855729642989,1.8220576606486965e-05,0.01
20,Li6,"(n,Xt)",0.993616083457934,0.0005651623428985,7.5
20,Li7,"(n,Xt)",0.0869225965013595,0.0001372069260319,7.5
17,Li6,"(n,Xt)",0.0771323711602488,0.0001445273253005,7.5
17,Li7,"(n,Xt)",0.0192383415726005,1.862653701856965e-05,7.5
30,Li6,"(n,Xt)",1.010678890579198,0.0012213479393036,15.0
30,Li7,"(n,Xt)",0.079460919448853,0.0001219353242538,15.0
27,Li6,"(n,Xt)",0.1019346737907321,0.0002018679898535,15.0
27,Li7,"(n,Xt)",0.0176861411241363,1.8018168571969605e-05,15.0
37,Li7,"(n,Xt)",0.0156185990975567,1.4042905928593409e-05,25.0
37,Li6,"(n,Xt)",0.1242304980682456,0.0002806116517944,25.0
40,Li7,"(n,Xt)",0.0696311015098522,0.0001100316748262,25.0
40,Li6,"(n,Xt)",1.0140799137591496,0.0012497905888413,25.0
50,Li6,"(n,Xt)",1.005024315194873,0.0012932869130141,50.0
50,Li7,"(n,Xt)",0.0455974944990329,7.214093842604265e-05,50.0
47,Li6,"(n,Xt)",0.1598447979946433,0.0002377177654662,50.0
47,Li7,"(n,Xt)",0.0104341485038339,9.683511165298317e-06,50.0
60,Li6,"(n,Xt)",0.9933399644659378,0.0010937835786693,75.0
60,Li7,"(n,Xt)",0.0224094287197683,4.205222208376221e-05,75.0
57,Li6,"(n,Xt)",0.1851847762737084,0.0003140023034676,75.0
57,Li7,"(n,Xt)",0.0052288113416152,4.283262828983431e-06,75.0
70,Li6,"(n,Xt)",0.985540935675464,0.0009178243700727,99.99
70,Li7,"(n,Xt)",8.819395145758163e-06,1.5399158298261862e-08,99.99
67,Li6,"(n,Xt)",0.2035795943255208,0.0004584863027019,99.99
67,Li7,"(n,Xt)",2.094821059595822e-06,1.801612388244339e-09,99.99
