cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.3137200790247104,0.0004342542700001,0.01
10,Li7,"(n,Xt)",0.0944798409022485,0.0001463941362274,0.01
6,Li6,"(n,Xt)",0.0008309147154357,2.015771743415777e-06,0.01
6,Li7,"(n,Xt)",0.0207855510574648,1.8539090781621237e-05,0.01
20,Li6,"(n,Xt)",0.9936211908368608,0.0005879642135279,7.5
20,Li7,"(n,Xt)",0.0869237110844951,0.0001370715357641,7.5
17,Li6,"(n,Xt)",0.0771334799998109,0.0001429900676048,7.5
17,Li7,"(n,Xt)",0.0192383415919753,1.862798010035783e-05,7.5
30,Li6,"(n,Xt)",1.0106703024224188,0.0012267189442785,15.0
30,Li7,"(n,Xt)",0.0794606200763012,0.0001217291496487,15.0
27,Li6,"(n,Xt)",0.1019356846505493,0.000202155072127,15.0
27,Li7,"(n,Xt)",0.0176861499359718,1.8014926403731417e-05,15.0
37,Li7,"(n,Xt)",0.0156185524478958,1.4033103127621517e-05,25.0
37,Li6,"(n,Xt)",0.1242300963710912,0.0002800072314228,25.0
40,Li7,"(n,Xt)",0.069630850819078,0.0001099488720332,25.0
40,Li6,"(n,Xt)",1.0140946379015814,0.0012548630144564,25.0
50,Li6,"(n,Xt)",1.0050187186879485,0.0012915456492212,50.0
50,Li7,"(n,Xt)",0.0455975380407224,7.210775585366603e-05,50.0
47,Li6,"(n,Xt)",0.1598418524444423,0.0002378972140148,50.0
47,Li7,"(n,Xt)",0.0104341187624485,9.693080248654108e-06,50.0
60,Li6,"(n,Xt)",0.993359159385676,0.0010923390171575,75.0
60,Li7,"(n,Xt)",0.0224092098944345,4.207901525565297e-05,75.0
57,Li6,"(n,Xt)",0.1851864721630245,0.0003148465080133,75.0
57,Li7,"(n,Xt)",0.0052287876642579,4.281560904703131e-06,75.0
70,Li6,"(n,Xt)",0.9855448670230998,0.0009192120136781,99.99
70,Li7,"(n,Xt)",8.819420926913643e-06,1.5394365050544818e-08,99.99
67,Li6,"(n,Xt)",0.2035810223170951,0.0004590868138652,99.99
67,Li7,"(n,Xt)",2.094821059595823e-06,1.8016123882692487e-09,99.99
