cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.3148422275226575,0.0004884245902307,0.01
10,Li7,"(n,Xt)",0.0944786701846006,0.0001447047987833,0.01
6,Li6,"(n,Xt)",0.0008305299310987,2.090800842418836e-06,0.01
6,Li7,"(n,Xt)",0.0207858134289378,1.8135773509272925e-05,0.01
20,Li6,"(n,Xt)",0.9936785667088632,0.0005618692125079,7.5
20,Li7,"(n,Xt)",0.0869255469256028,0.0001362734611071,7.5
17,Li6,"(n,Xt)",0.0771295019028386,0.0001437352741277,7.5
17,Li7,"(n,Xt)",0.0192383580236046,1.857380873658321e-05,7.5
30,Li6,"(n,Xt)",1.0106889544121007,0.0012360285799379,15.0
30,Li7,"(n,Xt)",0.079461352285644,0.0001213836474384,15.0
27,Li6,"(n,Xt)",0.1019379979238319,0.0002015200759256,15.0
27,Li7,"(n,Xt)",0.017686166709674,1.800884123564625e-05,15.0
37,Li7,"(n,Xt)",0.0156185743496375,1.4035377801882976e-05,25.0
37,Li6,"(n,Xt)",0.1242334361146575,0.0002808921935015,25.0
40,Li7,"(n,Xt)",0.0696311669184938,0.0001096078734866,25.0
40,Li6,"(n,Xt)",1.014119797189073,0.0012526874184487,25.0
50,Li6,"(n,Xt)",1.005011373107609,0.0012972515325824,50.0
50,Li7,"(n,Xt)",0.0455985371516567,7.206612082360401e-05,50.0
47,Li6,"(n,Xt)",0.1598406494090962,0.0002375594167873,50.0
47,Li7,"(n,Xt)",0.0104341271853899,9.688653029014023e-06,50.0
60,Li6,"(n,Xt)",0.9933592106623644,0.0010963153348335,75.0
60,Li7,"(n,Xt)",0.0224093920024615,4.2029710489160994e-05,75.0
57,Li6,"(n,Xt)",0.1851858277871324,0.0003147453745595,75.0
57,Li7,"(n,Xt)",0.0052287859030051,4.280740872356385e-06,75.0
70,Li6,"(n,Xt)",0.9855216363032762,0.000925169113109,99.99
70,Li7,"(n,Xt)",8.819307618606565e-06,1.5394044309606463e-08,99.99
67,Li6,"(n,Xt)",0.2035786645957882,0.000459075798997,99.99
67,Li7,"(n,Xt)",2.0948238075234608e-06,1.8025342131283327e-09,99.99
