cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.8821497040405479,0.0013341516664455,0.01
10,Li7,"(n,Xt)",0.0980556023733842,0.0001613298331409,0.01
6,Li6,"(n,Xt)",0.0320251038697586,4.000637277804825e-05,0.01
6,Li7,"(n,Xt)",0.0221701730153656,2.4596520462860187e-05,0.01
20,Li6,"(n,Xt)",0.9785488399125744,0.0013777884889813,7.5
20,Li7,"(n,Xt)",0.0913490755902021,0.0001496532222204,7.5
17,Li6,"(n,Xt)",0.0786116092236264,0.0001586417054326,7.5
17,Li7,"(n,Xt)",0.0207681766076056,2.123140372088403e-05,7.5
30,Li6,"(n,Xt)",0.9915847395126308,0.001309240584467,15.0
30,Li7,"(n,Xt)",0.0846830129871757,0.0001329431375611,15.0
27,Li6,"(n,Xt)",0.1008552938022495,0.0002748607141481,15.0
27,Li7,"(n,Xt)",0.0193544137429507,1.9812628651628325e-05,15.0
37,Li7,"(n,Xt)",0.0174666621893905,1.5928379158234442e-05,25.0
37,Li6,"(n,Xt)",0.1205943534855891,0.0003107558393086,25.0
40,Li7,"(n,Xt)",0.0758648004721848,0.0001249573080993,25.0
40,Li6,"(n,Xt)",0.995140604781699,0.0011573548791931,25.0
50,Li6,"(n,Xt)",0.9892411961302082,0.0013598787335852,50.0
50,Li7,"(n,Xt)",0.0543250354922837,0.0001007740183373,50.0
47,Li6,"(n,Xt)",0.1548737205130594,0.0003484561988375,50.0
47,Li7,"(n,Xt)",0.0127285299934306,1.0324355594309293e-05,50.0
60,Li6,"(n,Xt)",0.9788374487125726,0.0011309471916778,75.0
60,Li7,"(n,Xt)",0.0334223751852686,5.8794725310797743e-05,75.0
57,Li6,"(n,Xt)",0.1786787659130327,0.0002828732675457,75.0
57,Li7,"(n,Xt)",0.0079716635612279,7.063690797753192e-06,75.0
70,Li6,"(n,Xt)",0.9706110873360272,0.000989772881927,99.99
70,Li7,"(n,Xt)",0.0131656290424969,2.4436507154980583e-05,99.99
67,Li6,"(n,Xt)",0.1971656217654764,0.0004702548580104,99.99
67,Li7,"(n,Xt)",0.0031908757540779,2.924858593673874e-06,99.99
