cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.9057808891639916,0.0008987530127405,0.01
10,Li7,"(n,Xt)",0.0931594160946324,0.0001847744115149,0.01
6,Li6,"(n,Xt)",0.0658122133859718,0.0001887458371045,0.01
6,Li7,"(n,Xt)",0.0242326267541194,3.499579722923537e-05,0.01
20,Li6,"(n,Xt)",0.96121654635238,0.0011486735237698,7.5
20,Li7,"(n,Xt)",0.0877564961613055,0.0001846686319875,7.5
17,Li6,"(n,Xt)",0.1158598086337086,0.0002122123697185,7.5
17,Li7,"(n,Xt)",0.0229329760376613,3.559844592069e-05,7.5
30,Li6,"(n,Xt)",0.9709052623672246,0.0011375145332316,15.0
30,Li7,"(n,Xt)",0.0823600053638369,0.0001706291099453,15.0
27,Li6,"(n,Xt)",0.1435242547623512,0.0004160078756011,15.0
27,Li7,"(n,Xt)",0.0216315443133367,3.386425562080892e-05,15.0
37,Li7,"(n,Xt)",0.0198774257125609,3.0881921601628194e-05,25.0
37,Li6,"(n,Xt)",0.168248822464811,0.0003715630650739,25.0
40,Li7,"(n,Xt)",0.0752174766857077,0.000161338119223,25.0
40,Li6,"(n,Xt)",0.9730107668250112,0.0010211130164436,25.0
50,Li6,"(n,Xt)",0.9647318625494284,0.0015632672044268,50.0
50,Li7,"(n,Xt)",0.0577417706339836,0.0001292131154853,50.0
47,Li6,"(n,Xt)",0.2098144567345242,0.0004947088626162,50.0
47,Li7,"(n,Xt)",0.0154908497526725,2.089462287118653e-05,50.0
60,Li6,"(n,Xt)",0.9551686105806236,0.0014259362424534,75.0
60,Li7,"(n,Xt)",0.0406655059643627,9.868975542252905e-05,75.0
57,Li6,"(n,Xt)",0.2368810355223256,0.0002904389982353,75.0
57,Li7,"(n,Xt)",0.0110773630915976,1.5275835547368922e-05,75.0
70,Li6,"(n,Xt)",0.9449498730913984,0.0015181734231205,99.99
70,Li7,"(n,Xt)",0.0240223193589755,5.256912212299882e-05,99.99
67,Li6,"(n,Xt)",0.2580203134205631,0.0002693757763024,99.99
67,Li7,"(n,Xt)",0.0066427713982861,8.43416204928705e-06,99.99
