cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.910595008668322,0.0013352866055757,0.01
10,Li7,"(n,Xt)",0.0964108104253617,0.0001958218742537,0.01
6,Li6,"(n,Xt)",0.0682864662858954,0.0001492010962891,0.01
6,Li7,"(n,Xt)",0.0248898505345648,4.15916453232378e-05,0.01
20,Li6,"(n,Xt)",0.9511575191541248,0.0006778635077385,7.5
20,Li7,"(n,Xt)",0.0912820225829338,0.0001893784297345,7.5
17,Li6,"(n,Xt)",0.1095076206691498,0.0002289740055152,7.5
17,Li7,"(n,Xt)",0.0236522415746928,3.826904393911029e-05,7.5
30,Li6,"(n,Xt)",0.9620608631470462,0.0011682658225825,15.0
30,Li7,"(n,Xt)",0.0861549613043665,0.0001813931414083,15.0
27,Li6,"(n,Xt)",0.1339396549230211,0.0003468452480183,15.0
27,Li7,"(n,Xt)",0.0224327025775628,3.84830861843649e-05,15.0
37,Li7,"(n,Xt)",0.0207843119306797,3.497066943294744e-05,25.0
37,Li6,"(n,Xt)",0.1560817385131105,0.000316541353408,25.0
40,Li7,"(n,Xt)",0.0793600208999056,0.0001658809160786,25.0
40,Li6,"(n,Xt)",0.9640568360416744,0.0011429650530919,25.0
50,Li6,"(n,Xt)",0.958254417981425,0.0011991451212549,50.0
50,Li7,"(n,Xt)",0.0626976769091635,0.0001370426212726,50.0
47,Li6,"(n,Xt)",0.1942741112445382,0.0004779293809546,50.0
47,Li7,"(n,Xt)",0.016659242149407,2.582581211685668e-05,50.0
60,Li6,"(n,Xt)",0.9498639295898494,0.0011695544948147,75.0
60,Li7,"(n,Xt)",0.0463964360349391,9.883054609345564e-05,75.0
57,Li6,"(n,Xt)",0.2199396096084098,0.0005494765984557,75.0
57,Li7,"(n,Xt)",0.0125019350416589,1.9213936947866505e-05,75.0
70,Li6,"(n,Xt)",0.9406266193606184,0.001408433577077,99.99
70,Li7,"(n,Xt)",0.0304943098021861,6.490188808662087e-05,99.99
67,Li6,"(n,Xt)",0.2399500888204812,0.0004575807003271,99.99
67,Li7,"(n,Xt)",0.0083290728248081,1.2661599873847222e-05,99.99
