cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.8756972774807353,0.0014920366886982,0.01
10,Li7,"(n,Xt)",0.0898924640773642,0.0001956300744267,0.01
6,Li6,"(n,Xt)",0.0456307903762347,7.333907207082847e-05,0.01
6,Li7,"(n,Xt)",0.0227913274915878,3.84762414255754e-05,0.01
20,Li6,"(n,Xt)",0.9747035871481332,0.001041136501212,7.5
20,Li7,"(n,Xt)",0.0838063304260799,0.0001802589026338,7.5
17,Li6,"(n,Xt)",0.1137197184185534,0.0001923940511565,7.5
17,Li7,"(n,Xt)",0.0213394008485583,3.50855378878036e-05,7.5
30,Li6,"(n,Xt)",0.9865706421163776,0.0013555451255658,15.0
30,Li7,"(n,Xt)",0.0776478069958911,0.000164773511305,15.0
27,Li6,"(n,Xt)",0.1453931979864589,0.0003822781452059,15.0
27,Li7,"(n,Xt)",0.0198906736139231,3.1670447744160805e-05,15.0
37,Li7,"(n,Xt)",0.0179486091324603,2.7493544106315493e-05,25.0
37,Li6,"(n,Xt)",0.1729943167602347,0.0002035530631128,25.0
40,Li7,"(n,Xt)",0.0695495698475445,0.0001415061740306,25.0
40,Li6,"(n,Xt)",0.989762342864234,0.0011859175484071,25.0
50,Li6,"(n,Xt)",0.981353035336872,0.001248611671562,50.0
50,Li7,"(n,Xt)",0.0497926563017907,0.0001070724087121,50.0
47,Li6,"(n,Xt)",0.2170040887159052,0.0005235495419832,50.0
47,Li7,"(n,Xt)",0.0130791585176117,1.8194848379647504e-05,50.0
60,Li6,"(n,Xt)",0.9692245840413534,0.0011288545543086,75.0
60,Li7,"(n,Xt)",0.0306594759457326,6.513460297971563e-05,75.0
57,Li6,"(n,Xt)",0.2450123405665902,0.0006054644886853,75.0
57,Li7,"(n,Xt)",0.0081913947299377,1.1654731722360113e-05,75.0
70,Li6,"(n,Xt)",0.9588352430039456,0.001256462457607,99.99
70,Li7,"(n,Xt)",0.0120618732452419,2.498344309187561e-05,99.99
67,Li6,"(n,Xt)",0.2663612234464715,0.0003339296472488,99.99
67,Li7,"(n,Xt)",0.0032779806225337,4.971876185633074e-06,99.99
