cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.9111103259186312,0.0017586053415538,0.01
10,Li7,"(n,Xt)",0.0947360689684859,0.0002124773756627,0.01
6,Li6,"(n,Xt)",0.0732458884586418,0.0002220920996249,0.01
6,Li7,"(n,Xt)",0.0249859678808808,4.145482420131448e-05,0.01
20,Li6,"(n,Xt)",0.9527944439649472,0.0013974353950921,7.5
20,Li7,"(n,Xt)",0.0897001987473582,0.0002058506537501,7.5
17,Li6,"(n,Xt)",0.1167873118082515,0.0002629188855719,7.5
17,Li7,"(n,Xt)",0.0237458311155539,3.6748396472007285e-05,7.5
30,Li6,"(n,Xt)",0.9604930363881652,0.0008143863231123,15.0
30,Li7,"(n,Xt)",0.0846766365263597,0.0001904360235907,15.0
27,Li6,"(n,Xt)",0.1424640040735266,0.0003213064709854,15.0
27,Li7,"(n,Xt)",0.0225192524024904,3.401892244587055e-05,15.0
37,Li7,"(n,Xt)",0.0208610535713639,3.085075335440972e-05,25.0
37,Li6,"(n,Xt)",0.1660168150176524,0.0002595257212422,25.0
40,Li7,"(n,Xt)",0.0779838118304329,0.0001918194406672,25.0
40,Li6,"(n,Xt)",0.9638520067264486,0.001150027452567,25.0
50,Li6,"(n,Xt)",0.95784448689473,0.0011115287503183,50.0
50,Li7,"(n,Xt)",0.0616363675925639,0.0001508400104227,50.0
47,Li6,"(n,Xt)",0.2059857223177734,0.0003280093307631,50.0
47,Li7,"(n,Xt)",0.0167147774645387,2.3162783218698345e-05,50.0
60,Li6,"(n,Xt)",0.949136397518771,0.0011397991718725,75.0
60,Li7,"(n,Xt)",0.0455927180600209,0.0001082927869414,75.0
57,Li6,"(n,Xt)",0.2327329551893466,0.0003289738439987,75.0
57,Li7,"(n,Xt)",0.0125493401866224,1.70279050197054e-05,75.0
70,Li6,"(n,Xt)",0.9401452864721792,0.0014011434347418,99.99
70,Li7,"(n,Xt)",0.0299675554162221,7.114546617799405e-05,99.99
67,Li6,"(n,Xt)",0.2530699985787699,0.0005070122475036,99.99
67,Li7,"(n,Xt)",0.0083618095481769,1.0785503603654385e-05,99.99
