cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.9805192053425204,0.0012278116591663,0.01
10,Li7,"(n,Xt)",0.0800179369568831,0.0001394360708842,0.01
6,Li6,"(n,Xt)",0.0518174989251669,0.0001430659485822,0.01
6,Li7,"(n,Xt)",0.0232120837546627,3.283996124702219e-05,0.01
20,Li6,"(n,Xt)",1.0354962325012171,0.0013049378826009,7.5
20,Li7,"(n,Xt)",0.0753481243539726,0.000139375914571,7.5
17,Li6,"(n,Xt)",0.0944807403755638,0.0001699336715251,7.5
17,Li7,"(n,Xt)",0.0219682680163327,3.116078484030988e-05,7.5
30,Li6,"(n,Xt)",1.0450881475386165,0.0012057428700507,15.0
30,Li7,"(n,Xt)",0.0707261564818396,0.0001198842957666,15.0
27,Li6,"(n,Xt)",0.1195994026760393,0.0002022317507019,15.0
27,Li7,"(n,Xt)",0.0207174157950504,2.7623974296634734e-05,15.0
37,Li7,"(n,Xt)",0.0190484245619403,2.380379396990273e-05,25.0
37,Li6,"(n,Xt)",0.1431831598848753,0.0002404651218641,25.0
40,Li7,"(n,Xt)",0.0645876993201593,0.0001222043094883,25.0
40,Li6,"(n,Xt)",1.0462575125737947,0.0013886570015863,25.0
50,Li6,"(n,Xt)",1.0385554911842942,0.0011372438676902,50.0
50,Li7,"(n,Xt)",0.0495665648976395,9.203882675977304e-05,50.0
47,Li6,"(n,Xt)",0.184589897995648,0.0003845598441135,50.0
47,Li7,"(n,Xt)",0.0148537513952615,1.8381843652678383e-05,50.0
60,Li6,"(n,Xt)",1.0249283682369768,0.0017069461821652,75.0
60,Li7,"(n,Xt)",0.034927101117827,7.476685323166575e-05,75.0
57,Li6,"(n,Xt)",0.2143253931909109,0.000342857672307,75.0
57,Li7,"(n,Xt)",0.010626468610575,1.151435458784416e-05,75.0
70,Li6,"(n,Xt)",1.013273671945231,0.0014667762006799,99.99
70,Li7,"(n,Xt)",0.0206405428719419,4.413290940432056e-05,99.99
67,Li6,"(n,Xt)",0.2378384496912421,0.0004226553058301,99.99
67,Li7,"(n,Xt)",0.0063765695000448,5.742704071414711e-06,99.99
