cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.307593484584112,0.0004706517350463,0.01
10,Li7,"(n,Xt)",0.0915186541149991,0.0001230048487978,0.01
6,Li6,"(n,Xt)",0.0008232205619106,1.2531216162720365e-06,0.01
6,Li7,"(n,Xt)",0.0203196407124125,2.3314183828843905e-05,0.01
20,Li6,"(n,Xt)",1.0001876708926918,0.0006359669594193,7.5
20,Li7,"(n,Xt)",0.0842035860454339,0.0001211741531188,7.5
17,Li6,"(n,Xt)",0.077285496629178,0.0001434048273239,7.5
17,Li7,"(n,Xt)",0.0188110082796688,2.333392736670185e-05,7.5
30,Li6,"(n,Xt)",1.0184331489315162,0.0014088297847243,15.0
30,Li7,"(n,Xt)",0.0769751453288649,0.0001130515071104,15.0
27,Li6,"(n,Xt)",0.1021902126913643,0.0002182703024339,15.0
27,Li7,"(n,Xt)",0.0172958296818272,1.8435597132897225e-05,15.0
37,Li7,"(n,Xt)",0.0152767643328853,1.483846716175226e-05,25.0
37,Li6,"(n,Xt)",0.1243502185953082,0.0002240589440507,25.0
40,Li7,"(n,Xt)",0.0674835898226305,9.786195291883836e-05,25.0
40,Li6,"(n,Xt)",1.020596170368974,0.0010543423416343,25.0
50,Li6,"(n,Xt)",1.0147773166959395,0.0013277055119379,50.0
50,Li7,"(n,Xt)",0.044246293690768,6.720196125670173e-05,50.0
47,Li6,"(n,Xt)",0.1604658616109797,0.0002372176939701,50.0
47,Li7,"(n,Xt)",0.010200428906417,9.377848843977794e-06,50.0
60,Li6,"(n,Xt)",1.00585613425599,0.001046477575116,75.0
60,Li7,"(n,Xt)",0.0217737390694415,3.452319100901811e-05,75.0
57,Li6,"(n,Xt)",0.1849172590825396,0.0004375160651689,75.0
57,Li7,"(n,Xt)",0.0051085336510583,5.24795679444194e-06,75.0
70,Li6,"(n,Xt)",0.999168967969875,0.0008687497568865,99.99
70,Li7,"(n,Xt)",8.567709536615734e-06,1.4115808100803997e-08,99.99
67,Li6,"(n,Xt)",0.2041984035247931,0.000403544038266,99.99
67,Li7,"(n,Xt)",2.048012884337448e-06,1.9998537053600317e-09,99.99
