cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.2934088346125263,0.0005162706955712,0.01
10,Li7,"(n,Xt)",0.082925776406228,0.0001765526883034,0.01
6,Li6,"(n,Xt)",0.0008653604135147,2.756222258938431e-06,0.01
6,Li7,"(n,Xt)",0.0197302742237773,2.725474052822058e-05,0.01
20,Li6,"(n,Xt)",1.0157464100516873,0.0013336575753257,7.5
20,Li7,"(n,Xt)",0.0763807388502612,0.0001667594384293,7.5
17,Li6,"(n,Xt)",0.0903010060245601,0.000174158997467,7.5
17,Li7,"(n,Xt)",0.0182736959282581,2.6483776989451955e-05,7.5
30,Li6,"(n,Xt)",1.033583089092944,0.0009592115320399,15.0
30,Li7,"(n,Xt)",0.0698507555890411,0.0001363890230435,15.0
27,Li6,"(n,Xt)",0.1194275588141065,0.0002103011924109,15.0
27,Li7,"(n,Xt)",0.0167971554754033,2.392881183079386e-05,15.0
37,Li7,"(n,Xt)",0.014831404328243,2.0442815793327475e-05,25.0
37,Li6,"(n,Xt)",0.1452892589167616,0.0003509380322158,25.0
40,Li7,"(n,Xt)",0.0612362957821879,0.000135274557985,25.0
40,Li6,"(n,Xt)",1.0372621473316463,0.0012304489006677,25.0
50,Li6,"(n,Xt)",1.0303064220183988,0.0012539477545989,50.0
50,Li7,"(n,Xt)",0.0401878232652348,8.803884290162502e-05,50.0
47,Li6,"(n,Xt)",0.1862038854333899,0.0005119613939656,50.0
47,Li7,"(n,Xt)",0.0099070280835479,1.3449678006260508e-05,50.0
60,Li6,"(n,Xt)",1.0178961436420513,0.0011985947029842,75.0
60,Li7,"(n,Xt)",0.0197765702900959,4.47827198500038e-05,75.0
57,Li6,"(n,Xt)",0.2133492850174484,0.0003963566092192,75.0
57,Li7,"(n,Xt)",0.0049627985268014,6.352671414597168e-06,75.0
70,Li6,"(n,Xt)",1.0080521985896558,0.0008659595117197,99.99
70,Li7,"(n,Xt)",7.785178214792122e-06,1.761774955021422e-08,99.99
67,Li6,"(n,Xt)",0.2331976682296673,0.0006715645798024,99.99
67,Li7,"(n,Xt)",1.989503009969569e-06,2.601188085900388e-09,99.99
