cell,nuclide,score,mean,std. dev.,wppm
10,Li6,"(n,Xt)",0.7418656112616062,0.0007778424697379,0.0
10,Li7,"(n,Xt)",0.0294636309005731,0.0001223558773382,0.0
6,Li6,"(n,Xt)",0.5498943923121643,0.0014676937187974,0.0
6,Li7,"(n,Xt)",0.0207680641554944,2.782044116711526e-05,0.0
20,Li6,"(n,Xt)",0.743331576657704,0.0006897373226978,50.0
20,Li7,"(n,Xt)",0.029043570537445,0.0001179439011492,50.0
17,Li6,"(n,Xt)",0.5489232334520907,0.0011631081779447,50.0
17,Li7,"(n,Xt)",0.0205520339989825,2.656686479444654e-05,50.0
27,Li7,"(n,Xt)",0.0203231824507472,2.368885706746635e-05,100.0
27,Li6,"(n,Xt)",0.5495718099291805,0.001210347406872,100.0
30,Li6,"(n,Xt)",0.7430285623395723,0.0010870333661042,100.0
30,Li7,"(n,Xt)",0.0285648094579955,0.0001135236556177,100.0
37,Li7,"(n,Xt)",0.0200784688897873,2.728069596894674e-05,150.0
40,Li6,"(n,Xt)",0.7427653939688839,0.0010060106799065,150.0
40,Li7,"(n,Xt)",0.0280663041059682,0.0001196016488167,150.0
37,Li6,"(n,Xt)",0.5490432221716853,0.001013417461832,150.0
47,Li7,"(n,Xt)",0.019803760124294,2.2650270296877483e-05,200.0
47,Li6,"(n,Xt)",0.5483687761285146,0.0012221287421006,200.0
50,Li6,"(n,Xt)",0.7423482311892672,0.0009507508284158,200.0
50,Li7,"(n,Xt)",0.0275182154754521,0.0001291345444645,200.0
60,Li6,"(n,Xt)",0.7426319804246223,0.0011799484053773,250.0
60,Li7,"(n,Xt)",0.026910947518572,0.000126282801354,250.0
57,Li6,"(n,Xt)",0.5475223173707073,0.0013643132384888,250.0
57,Li7,"(n,Xt)",0.0195048368783632,2.024456685465376e-05,250.0
67,Li7,"(n,Xt)",0.0191665669679365,2.0935815418476788e-05,300.0
67,Li6,"(n,Xt)",0.5468838228686774,0.0010610566100034,300.0
70,Li6,"(n,Xt)",0.7416906349177318,0.0007231773822133,300.0
