cell,nuclide,score,mean,std. dev.,wppm
10,Li6,"(n,Xt)",0.8296317313256896,0.0008389977393796,0.0
10,Li7,"(n,Xt)",0.0376725318789557,0.0001217351358731,0.0
6,Li6,"(n,Xt)",0.4511012114634081,0.0006668997238346,0.0
6,Li7,"(n,Xt)",0.0207404715081588,2.6829582554740545e-05,0.0
20,Li6,"(n,Xt)",0.8315816613375002,0.0006836647553302,50.0
20,Li7,"(n,Xt)",0.0370804214310506,0.0001120105341334,50.0
17,Li6,"(n,Xt)",0.4505302765061358,0.0007030253589055,50.0
17,Li7,"(n,Xt)",0.0205199480916121,2.703890271972693e-05,50.0
27,Li7,"(n,Xt)",0.02028738807045,2.5106944126707244e-05,100.0
27,Li6,"(n,Xt)",0.4497398777221463,0.0006298669872233,100.0
30,Li6,"(n,Xt)",0.8326734337753928,0.0005780251686221,100.0
30,Li7,"(n,Xt)",0.0364782179356533,9.552695402685648e-05,100.0
37,Li7,"(n,Xt)",0.0200347950510725,2.817684979809358e-05,150.0
40,Li6,"(n,Xt)",0.8337280113503324,0.0009339255636353,150.0
40,Li7,"(n,Xt)",0.0358659015190896,0.0001127734544121,150.0
37,Li6,"(n,Xt)",0.450263470457348,0.0006676460386013,150.0
47,Li7,"(n,Xt)",0.0197627319048423,2.6539347339248812e-05,200.0
47,Li6,"(n,Xt)",0.4503452154803199,0.0007301412510388,200.0
50,Li6,"(n,Xt)",0.836866267823044,0.000995258355094,200.0
50,Li7,"(n,Xt)",0.0351820935818869,0.0001184872816351,200.0
60,Li6,"(n,Xt)",0.8361133439499661,0.0009912845577,250.0
60,Li7,"(n,Xt)",0.0344211080454045,0.0001096285588177,250.0
57,Li6,"(n,Xt)",0.4493851494853424,0.0006163686007262,250.0
57,Li7,"(n,Xt)",0.0194612772801013,2.575168743108041e-05,250.0
67,Li7,"(n,Xt)",0.0191222288027587,2.2266721967608e-05,300.0
67,Li6,"(n,Xt)",0.4484591580687939,0.000682154714183,300.0
70,Li6,"(n,Xt)",0.8367726172251823,0.0011236132919164,300.0
70,Li7,"(n,Xt)",0.0335629767919556,9.412759306683483e-05,300.0
80,Li6,"(n,Xt)",0.8383872198300166,0.0013698573704983,350.0
80,Li7,"(n,Xt)",0.0326364270554516,9.140385043371532e-05,350.0
77,Li6,"(n,Xt)",0.448186386388832,0.0008663250927636,350.0
77,Li7,"(n,Xt)",0.0187636664233605,2.2300606717827508e-05,350.0
87,Li6,"(n,Xt)",0.4477171627110994,0.0009029503485755,400.0
90,Li6,"(n,Xt)",0.8398684063762019,0.0009408679732936,400.0
90,Li7,"(n,Xt)",0.0316077839328788,7.888122939181277e-05,400.0
87,Li7,"(n,Xt)",0.0183484479823854,2.420235630861274e-05,400.0
97,Li7,"(n,Xt)",0.0178715810610641,2.5344240461580216e-05,450.0
97,Li6,"(n,Xt)",0.4453045099936285,0.0007288329707968,450.0
100,Li7,"(n,Xt)",0.0304855919217279,7.076469877499849e-05,450.0
100,Li6,"(n,Xt)",0.8393486676450422,0.0013923959696601,450.0
110,Li6,"(n,Xt)",0.8402610803871736,0.0011050192699368,500.0
110,Li7,"(n,Xt)",0.0292281548708482,7.093864803080914e-05,500.0
107,Li6,"(n,Xt)",0.4433377586360857,0.0005915317288648,500.0
107,Li7,"(n,Xt)",0.0173336372468209,2.1141911882708845e-05,500.0
120,Li6,"(n,Xt)",0.8405758508652292,0.0008151336757608,550.0
120,Li7,"(n,Xt)",0.0278725603897691,7.938040423508756e-05,550.0
117,Li6,"(n,Xt)",0.4432681880150223,0.0006396379260072,550.0
117,Li7,"(n,Xt)",0.0167388281542417,1.642384019758077e-05,550.0
127,Li7,"(n,Xt)",0.0160314255914962,1.780379277707731e-05,600.0
127,Li6,"(n,Xt)",0.4422123196577118,0.0010639236922954,600.0
130,Li6,"(n,Xt)",0.8400760345108791,0.0011377485732784,600.0
130,Li7,"(n,Xt)",0.0262951290580695,5.545242679910568e-05,600.0
140,Li6,"(n,Xt)",0.8394947396567904,0.0010824816932714,650.0
140,Li7,"(n,Xt)",0.0244902594802967,5.49001582775772e-05,650.0
137,Li6,"(n,Xt)",0.4390691409724607,0.0005760090594046,650.0
137,Li7,"(n,Xt)",0.0152261501788091,1.7224992993779227e-05,650.0
147,Li7,"(n,Xt)",0.0142552127609278,1.621887690148676e-05,700.0
147,Li6,"(n,Xt)",0.4354351227866361,0.0008370317405885,700.0
150,Li7,"(n,Xt)",0.0224461474962524,4.955118910451077e-05,700.0
150,Li6,"(n,Xt)",0.8399793585167993,0.0013056012923973,700.0
