cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.3094336344526436,0.0005817932252762,0.01
10,Li7,"(n,Xt)",0.0845677282818049,0.0001779772115063,0.01
6,Li6,"(n,Xt)",0.0008285163875091,1.9729420170341973e-06,0.01
6,Li7,"(n,Xt)",0.0199665150557695,3.562757945891287e-05,0.01
20,Li6,"(n,Xt)",1.0275353986923663,0.0011365948799725,7.5
20,Li7,"(n,Xt)",0.0778094031309752,0.0001518644549179,7.5
17,Li6,"(n,Xt)",0.0805756711649562,0.0001567893954545,7.5
17,Li7,"(n,Xt)",0.0184831575548286,3.193680875726735e-05,7.5
30,Li6,"(n,Xt)",1.0444261300451485,0.0009741615880827,15.0
30,Li7,"(n,Xt)",0.0711549522644884,0.0001396481226481,15.0
27,Li6,"(n,Xt)",0.1070779323715119,0.0001131074742153,15.0
27,Li7,"(n,Xt)",0.0169999466771859,2.9342352598152784e-05,15.0
37,Li7,"(n,Xt)",0.0150130649139381,2.6035588042179424e-05,25.0
37,Li6,"(n,Xt)",0.1309467913553774,0.0002446493039824,25.0
40,Li7,"(n,Xt)",0.0623675747871714,0.0001239922085752,25.0
40,Li6,"(n,Xt)",1.0478524092293486,0.0014649581488756,25.0
50,Li6,"(n,Xt)",1.0387359769938729,0.001639717067608,50.0
50,Li7,"(n,Xt)",0.0408721693486214,8.821974199732448e-05,50.0
47,Li6,"(n,Xt)",0.1696275407479117,0.0002677777391584,50.0
47,Li7,"(n,Xt)",0.0100316030359476,1.7022471619148683e-05,50.0
60,Li6,"(n,Xt)",1.027775419005839,0.0015205452131092,75.0
60,Li7,"(n,Xt)",0.020100681411187,4.423883512664433e-05,75.0
57,Li6,"(n,Xt)",0.1960997204664458,0.0003516299446609,75.0
57,Li7,"(n,Xt)",0.0050241276842638,8.856474448477938e-06,75.0
70,Li6,"(n,Xt)",1.015690154100917,0.0011494115484994,99.99
70,Li7,"(n,Xt)",7.910085526872267e-06,1.8520481248990802e-08,99.99
67,Li6,"(n,Xt)",0.2172183026297588,0.0003926032022942,99.99
67,Li7,"(n,Xt)",2.014405741075029e-06,3.1834157330763823e-09,99.99
