cell,nuclide,score,mean,std. dev.,enrichment
10,Li6,"(n,Xt)",0.288770900443721,0.0004231138762814,0.01
10,Li7,"(n,Xt)",0.0084003200051805,4.014587342045441e-05,0.01
6,Li6,"(n,Xt)",0.000756944310951,1.2865350675151868e-06,0.01
6,Li7,"(n,Xt)",0.0187728903759769,2.176225798058511e-05,0.01
20,Li6,"(n,Xt)",1.115283355219329,0.0009190442379331,7.5
20,Li7,"(n,Xt)",0.0077301948425032,3.5459977021454484e-05,7.5
17,Li6,"(n,Xt)",0.1778405449800998,0.0002943119998048,7.5
17,Li7,"(n,Xt)",0.0173874186508598,1.878230790374304e-05,7.5
30,Li6,"(n,Xt)",1.1182878516817818,0.0014703952551622,15.0
30,Li7,"(n,Xt)",0.0070715221864572,2.9897925295337054e-05,15.0
27,Li6,"(n,Xt)",0.2590766197062628,0.0004317299742811,15.0
27,Li7,"(n,Xt)",0.0159930505517125,1.647096110048186e-05,15.0
37,Li7,"(n,Xt)",0.0141316148382869,1.4429260936698964e-05,25.0
37,Li6,"(n,Xt)",0.3320612012771303,0.0006243993242039,25.0
40,Li7,"(n,Xt)",0.0061989179032895,2.699928958765052e-05,25.0
40,Li6,"(n,Xt)",1.102361503509547,0.0018630365208889,25.0
50,Li6,"(n,Xt)",1.059106285233809,0.0014457215640802,50.0
50,Li7,"(n,Xt)",0.0040805873059382,1.942201063226493e-05,50.0
47,Li6,"(n,Xt)",0.4455337127196264,0.0006143394469599,50.0
47,Li7,"(n,Xt)",0.0094523145355886,8.915942135343165e-06,50.0
60,Li6,"(n,Xt)",1.0235886586911964,0.0011040520049256,75.0
60,Li7,"(n,Xt)",0.0020136034030263,9.7281470796767e-06,75.0
57,Li6,"(n,Xt)",0.518244883050711,0.0007509054209604,75.0
57,Li7,"(n,Xt)",0.0047405682115445,4.428828249363353e-06,75.0
70,Li6,"(n,Xt)",0.9913849457229166,0.0012054738336493,99.99
70,Li7,"(n,Xt)",7.928380586743211e-07,3.764245511407194e-09,99.99
67,Li6,"(n,Xt)",0.5716609898692189,0.0009236823878159,99.99
67,Li7,"(n,Xt)",1.9029658783091176e-06,1.9428853849227923e-09,99.99
