cell,nuclide,score,mean,std. dev.,wppm
10,Li6,"(n,Xt)",1.097522484352799,0.0009172590317238,0.0
10,Li7,"(n,Xt)",0.0575119650363466,9.28039110382291e-05,0.0
6,Li6,"(n,Xt)",0.0997796095636551,0.0001855930909705,0.0
6,Li7,"(n,Xt)",0.0187892803887448,2.1086967400326056e-05,0.0
20,Li6,"(n,Xt)",1.099944929780007,0.0014763127042219,50.0
20,Li7,"(n,Xt)",0.0565541614864749,8.284961913056918e-05,50.0
17,Li6,"(n,Xt)",0.0995158332700866,0.0001729485100079,50.0
17,Li7,"(n,Xt)",0.0185954960798163,2.129058005744725e-05,50.0
27,Li7,"(n,Xt)",0.0183758408523979,2.143979381506797e-05,100.0
27,Li6,"(n,Xt)",0.0991367413131818,0.0001610387829758,100.0
30,Li6,"(n,Xt)",1.1039982112782465,0.0013248170115939,100.0
30,Li7,"(n,Xt)",0.0556014510111284,0.0001061613784091,100.0
37,Li7,"(n,Xt)",0.0181509074760786,2.2608449579460216e-05,150.0
40,Li6,"(n,Xt)",1.106929691976763,0.001438135285912,150.0
40,Li7,"(n,Xt)",0.0545849498388509,0.0001037591842443,150.0
37,Li6,"(n,Xt)",0.0986968126777943,0.0001839536283792,150.0
47,Li7,"(n,Xt)",0.0179006813361776,1.8851216079614104e-05,200.0
47,Li6,"(n,Xt)",0.0982453224364946,0.0002382282709226,200.0
50,Li6,"(n,Xt)",1.11079510784636,0.0009559935130913,200.0
50,Li7,"(n,Xt)",0.0534519154844119,7.566054182573564e-05,200.0
60,Li6,"(n,Xt)",1.113423411586128,0.0008964847161982,250.0
60,Li7,"(n,Xt)",0.0521919240481204,8.52025394485717e-05,250.0
57,Li6,"(n,Xt)",0.0983669082634279,0.000222328653002,250.0
57,Li7,"(n,Xt)",0.0176246574928703,2.140852519185245e-05,250.0
67,Li7,"(n,Xt)",0.0173100269115441,1.823308476747118e-05,300.0
67,Li6,"(n,Xt)",0.0976800686258217,0.0001387462076926,300.0
70,Li6,"(n,Xt)",1.1213365232703318,0.0008216911976079,300.0
70,Li7,"(n,Xt)",0.0508410307977027,9.470126314944088e-05,300.0
