cell,nuclide,score,mean,std. dev.,wppm
6,Li6,"(n,Xt)",0.0771516475941876,0.0001834024597313,0.0
6,Li7,"(n,Xt)",0.0192386144654705,2.423503670380011e-05,0.0
10,Li6,"(n,Xt)",0.9691723858058994,0.0005854003863399,0.0
10,Li7,"(n,Xt)",0.0864814533885116,0.0001240917439985,0.0
13,Li6,"(n,Xt)",0.023146685631658,0.0001570090809372,0.0
13,Li7,"(n,Xt)",0.0005088114303179,1.2346320561125752e-05,0.0
20,Li6,"(n,Xt)",0.0772336508077713,0.0001042585333661,50.0
20,Li7,"(n,Xt)",0.0190393526434331,2.247201886177584e-05,50.0
23,Li6,"(n,Xt)",0.973702950394158,0.0008881829185122,50.0
23,Li7,"(n,Xt)",0.0850819520019773,0.0001255476364052,50.0
26,Li6,"(n,Xt)",0.0231255824162084,0.0001417047538191,50.0
26,Li7,"(n,Xt)",0.0004871387802203,1.2422174072691985e-05,50.0
