cell,nuclide,score,mean,std. dev.,wppm
6,Li6,"(n,Xt)",0.0905246608545075,0.0001082491967879,0.0
6,Li7,"(n,Xt)",0.0189251984889162,2.7117321308217647e-05,0.0
10,Li6,"(n,Xt)",1.060962921570493,0.0011653330692179,0.0
10,Li7,"(n,Xt)",0.0686868172418608,7.77342772066825e-05,0.0
13,Li6,"(n,Xt)",0.0005434281761672,2.221383270217729e-05,0.0
13,Li7,"(n,Xt)",7.70413386392057e-06,1.434347011681552e-06,0.0
20,Li6,"(n,Xt)",0.0904666827465806,0.0001362964780026,50.0
20,Li7,"(n,Xt)",0.0187235559935422,2.464792510105481e-05,50.0
23,Li6,"(n,Xt)",1.0629205267235164,0.0010737371240435,50.0
23,Li7,"(n,Xt)",0.0675813907595695,8.210205820411723e-05,50.0
26,Li6,"(n,Xt)",0.000494384488757,2.428822418420779e-05,50.0
26,Li7,"(n,Xt)",6.9530089444171176e-06,1.35585786104657e-06,50.0
39,Li7,"(n,Xt)",6.8218875600530425e-06,9.469548729325386e-07,100.0
39,Li6,"(n,Xt)",0.0005175966989567,3.255181612647257e-05,100.0
36,Li7,"(n,Xt)",0.0664419364591153,0.0001004290100443,100.0
33,Li6,"(n,Xt)",0.0902603706480562,0.0001674196617753,100.0
33,Li7,"(n,Xt)",0.0185007850385419,2.528351880131208e-05,100.0
36,Li6,"(n,Xt)",1.067348143888003,0.0012968294516535,100.0
46,Li6,"(n,Xt)",0.0899923027659202,0.0001327134218662,150.0
46,Li7,"(n,Xt)",0.0182773946541796,2.7830650056712804e-05,150.0
49,Li6,"(n,Xt)",1.072298659220211,0.001432672958925,150.0
49,Li7,"(n,Xt)",0.065153595873842,0.0001039724423452,150.0
52,Li6,"(n,Xt)",0.0004625230765272,1.796554553909966e-05,150.0
52,Li7,"(n,Xt)",6.099256681215981e-06,1.0335085481652386e-06,150.0
65,Li7,"(n,Xt)",6.098041571089122e-06,9.502120742238428e-07,200.0
62,Li7,"(n,Xt)",0.0637474448110505,9.590224531707116e-05,200.0
65,Li6,"(n,Xt)",0.0004995510426202,3.151950195987413e-05,200.0
59,Li7,"(n,Xt)",0.0180268032702014,2.381604275647189e-05,200.0
62,Li6,"(n,Xt)",1.0776607233425513,0.0016099587078859,200.0
59,Li6,"(n,Xt)",0.0898625528555717,0.0001582042752398,200.0
72,Li6,"(n,Xt)",0.0898668733576778,0.000226938325531,250.0
72,Li7,"(n,Xt)",0.0177449977176079,2.4363103513781663e-05,250.0
75,Li6,"(n,Xt)",1.0829924908835582,0.0016026404484756,250.0
75,Li7,"(n,Xt)",0.0622560727769572,0.0001041692533324,250.0
78,Li6,"(n,Xt)",0.0004975425202366,2.750059930545416e-05,250.0
78,Li7,"(n,Xt)",5.715913895017646e-06,8.819234898979363e-07,250.0
91,Li6,"(n,Xt)",0.0005692911616287,2.5999542667996324e-05,300.0
88,Li7,"(n,Xt)",0.0606615559016431,9.427739174123718e-05,300.0
91,Li7,"(n,Xt)",5.2967673346791884e-06,8.430302314054004e-07,300.0
85,Li7,"(n,Xt)",0.0174297568298926,2.160051167834874e-05,300.0
85,Li6,"(n,Xt)",0.089023707151255,0.0001735340752835,300.0
