cell,nuclide,score,mean,std. dev.,wppm
6,Li6,"(n,Xt)",0.0907142788547247,0.000148966729853,0.0
6,Li7,"(n,Xt)",0.0189236102805815,2.5367281642487923e-05,0.0
10,Li6,"(n,Xt)",0.8820024210446535,0.001448422054222,0.0
10,Li7,"(n,Xt)",0.0623994436597818,7.782667584572057e-05,0.0
13,Li6,"(n,Xt)",0.1829682480664695,0.0007423141200852,0.0
13,Li7,"(n,Xt)",0.0047687263466059,2.3949839987779915e-05,0.0
20,Li6,"(n,Xt)",0.0906130643474853,0.0001238941648614,50.0
20,Li7,"(n,Xt)",0.018719249630726,2.6345842497307327e-05,50.0
23,Li6,"(n,Xt)",0.8826975868604311,0.0013494818907467,50.0
23,Li7,"(n,Xt)",0.0614230320698089,8.547617848464179e-05,50.0
26,Li6,"(n,Xt)",0.1844438875118021,0.0006678284963782,50.0
26,Li7,"(n,Xt)",0.0046554143603723,3.137950101126867e-05,50.0
39,Li7,"(n,Xt)",0.0045434248983214,2.8560383268415893e-05,100.0
39,Li6,"(n,Xt)",0.1860870509867165,0.0008823973120846,100.0
36,Li7,"(n,Xt)",0.0604559171448089,0.0001006074050293,100.0
33,Li6,"(n,Xt)",0.0906094803731474,0.0002083247930301,100.0
33,Li7,"(n,Xt)",0.0185035369492108,2.659748277295272e-05,100.0
36,Li6,"(n,Xt)",0.8857041141772968,0.0010025046770514,100.0
46,Li6,"(n,Xt)",0.0903263303243042,0.0002208764003366,150.0
46,Li7,"(n,Xt)",0.0182756783711802,2.7069463332026308e-05,150.0
49,Li6,"(n,Xt)",0.8894051233539135,0.0014369840839691,150.0
49,Li7,"(n,Xt)",0.0593797574738782,0.0001016253118857,150.0
52,Li6,"(n,Xt)",0.188879599180474,0.0007539219928878,150.0
52,Li7,"(n,Xt)",0.0044467134003651,2.9570012483135504e-05,150.0
65,Li7,"(n,Xt)",0.0043020734751807,3.780019374085556e-05,200.0
62,Li7,"(n,Xt)",0.0581518438292618,9.946974456764377e-05,200.0
